# y_px 	 x_px 	 Vorbin_Id
 34.000000  29.000000       20
 34.000000  30.000000       20
 34.000000  31.000000       24
 34.000000  32.000000       24
 34.000000  33.000000       24
 34.000000  34.000000       27
 34.000000  35.000000       27
 34.000000  36.000000       27
 34.000000  37.000000       27
 34.000000  38.000000       27
 34.000000  39.000000       27
 34.000000  40.000000       27
 35.000000  19.000000        7
 35.000000  20.000000        7
 35.000000  21.000000        7
 35.000000  22.000000        7
 35.000000  23.000000       17
 35.000000  24.000000       17
 35.000000  25.000000       17
 35.000000  26.000000       17
 35.000000  27.000000       20
 35.000000  28.000000       20
 35.000000  29.000000       20
 35.000000  30.000000       20
 35.000000  31.000000       26
 35.000000  32.000000       26
 35.000000  33.000000       26
 35.000000  34.000000       27
 35.000000  35.000000       27
 35.000000  36.000000       27
 35.000000  37.000000       27
 35.000000  38.000000       27
 35.000000  39.000000       27
 36.000000  19.000000        7
 36.000000  20.000000        7
 36.000000  21.000000       17
 36.000000  22.000000       17
 36.000000  23.000000       17
 36.000000  24.000000       17
 36.000000  25.000000       17
 36.000000  26.000000       17
 36.000000  27.000000       17
 36.000000  28.000000       20
 36.000000  29.000000       26
 36.000000  30.000000       26
 36.000000  31.000000       26
 36.000000  32.000000       26
 36.000000  33.000000       26
 36.000000  34.000000       27
 36.000000  35.000000       27
 36.000000  36.000000       27
 36.000000  37.000000       27
 36.000000  38.000000       27
 36.000000  39.000000       27
 37.000000  20.000000       17
 37.000000  21.000000       17
 37.000000  22.000000       17
 37.000000  23.000000       17
 37.000000  24.000000       17
 37.000000  25.000000       17
 37.000000  26.000000       17
 37.000000  27.000000       17
 37.000000  28.000000       26
 37.000000  29.000000       26
 37.000000  30.000000       26
 37.000000  31.000000       26
 37.000000  32.000000       26
 37.000000  33.000000       26
 37.000000  34.000000       26
 37.000000  35.000000       27
 37.000000  36.000000       27
 37.000000  37.000000       27
 37.000000  38.000000       27
 38.000000  20.000000       17
 38.000000  21.000000       17
 38.000000  22.000000       17
 38.000000  23.000000       17
 38.000000  24.000000       17
 38.000000  25.000000       17
 38.000000  26.000000       17
 38.000000  27.000000       17
 38.000000  28.000000       26
 38.000000  29.000000       26
 38.000000  30.000000       26
 38.000000  31.000000       26
 38.000000  32.000000       26
 38.000000  33.000000       26
 38.000000  34.000000       26
 38.000000  35.000000       26
 38.000000  36.000000       27
 38.000000  37.000000       27
 38.000000  38.000000       27
 39.000000  21.000000       17
 39.000000  22.000000       17
 39.000000  23.000000       17
 39.000000  24.000000       17
 39.000000  25.000000       17
 39.000000  26.000000       17
 39.000000  27.000000       17
 39.000000  28.000000       26
 39.000000  29.000000       26
 39.000000  30.000000       26
 39.000000  31.000000       26
 39.000000  32.000000       26
 39.000000  33.000000       26
 39.000000  34.000000       26
 39.000000  35.000000       26
 39.000000  36.000000       26
 39.000000  37.000000       27
 40.000000  21.000000       17
 40.000000  22.000000       17
 40.000000  23.000000       17
 40.000000  24.000000       17
 40.000000  25.000000       17
 40.000000  26.000000       17
 40.000000  27.000000       17
 40.000000  28.000000       26
 40.000000  29.000000       26
 40.000000  30.000000       26
 40.000000  31.000000       26
 40.000000  32.000000       26
 40.000000  33.000000       26
 40.000000  34.000000       26
 40.000000  35.000000       26
 41.000000  22.000000       17
 41.000000  23.000000       17
 41.000000  24.000000       17
 41.000000  25.000000       17
 41.000000  26.000000       17
 41.000000  27.000000       17
 41.000000  28.000000       26
 41.000000  29.000000       26
 41.000000  30.000000       26
 41.000000  31.000000       26
 41.000000  32.000000       26
 41.000000  33.000000       26
 42.000000  23.000000       17
 42.000000  24.000000       17
 42.000000  25.000000       17
 42.000000  26.000000       17
 42.000000  27.000000       17
 42.000000  28.000000       26
 42.000000  29.000000       26
 42.000000  30.000000       26
 42.000000  31.000000       26
 42.000000  32.000000       26
 42.000000  33.000000       26
 43.000000  24.000000       17
 43.000000  25.000000       17
 43.000000  26.000000       17
 43.000000  27.000000       17
 43.000000  28.000000       26
 43.000000  29.000000       26
 43.000000  30.000000       26
 44.000000  28.000000       26
