# x[px] 		 y[px] 		 Vrms[kms⁻¹] 		 Erms[kms⁻¹]
9.890113734780524e+00 8.135456367844746e+00 2.251307525634766e+02 4.053106689453125e+01
4.993725227142782e+00 -1.025001016369241e+01 2.248726196289062e+02 2.932072830200195e+01
5.199929412539412e+00 -9.271501178590634e+00 2.248726196289062e+02 2.932072830200195e+01
5.406133597936041e+00 -8.292992193488857e+00 4.127154541015625e+02 4.413436508178711e+01
5.612337783332671e+00 -7.314483208387077e+00 4.127154541015625e+02 4.413436508178711e+01
5.818541968729301e+00 -6.335974223285300e+00 1.829666290283203e+02 1.500946331024170e+01
6.024746154125930e+00 -5.357465238183521e+00 2.515979309082031e+02 1.624359130859375e+01
6.230950339522559e+00 -4.378956253081743e+00 2.515979309082031e+02 1.624359130859375e+01
6.437154524919189e+00 -3.400447267979964e+00 2.515979309082031e+02 1.624359130859375e+01
6.643358710315820e+00 -2.421938282878186e+00 2.125090942382812e+02 1.120027637481689e+01
6.849562895712449e+00 -1.443429297776408e+00 2.125090942382812e+02 1.120027637481689e+01
7.055767081109078e+00 -4.649203126746292e-01 2.125090942382812e+02 1.120027637481689e+01
7.261971266505708e+00 5.135886724271492e-01 2.125090942382812e+02 1.120027637481689e+01
7.468175451902338e+00 1.492097657528928e+00 2.515979309082031e+02 1.624359130859375e+01
7.674379637298967e+00 2.470606642630706e+00 2.515979309082031e+02 1.624359130859375e+01
7.880583822695597e+00 3.449115627732484e+00 2.515979309082031e+02 1.624359130859375e+01
8.086788008092228e+00 4.427624612834263e+00 1.829666290283203e+02 1.500946331024170e+01
8.292992193488857e+00 5.406133597936041e+00 4.127154541015625e+02 4.413436508178711e+01
8.499196378885486e+00 6.384642583037820e+00 4.127154541015625e+02 4.413436508178711e+01
8.705400564282115e+00 7.363151568139598e+00 2.248726196289062e+02 2.932072830200195e+01
8.911604749678744e+00 8.341660553241375e+00 2.251307525634766e+02 4.053106689453125e+01
3.809012056644374e+00 -1.102231496339756e+01 2.251307525634766e+02 4.053106689453125e+01
4.015216242041003e+00 -1.004380597829578e+01 2.248726196289062e+02 2.932072830200195e+01
4.221420427437633e+00 -9.065296993194005e+00 4.127154541015625e+02 4.413436508178711e+01
4.427624612834263e+00 -8.086788008092228e+00 4.127154541015625e+02 4.413436508178711e+01
4.633828798230892e+00 -7.108279022990448e+00 1.829666290283203e+02 1.500946331024170e+01
4.840032983627522e+00 -6.129770037888670e+00 2.515979309082031e+02 1.624359130859375e+01
5.046237169024152e+00 -5.151261052786891e+00 2.515979309082031e+02 1.624359130859375e+01
5.252441354420782e+00 -4.172752067685114e+00 2.125090942382812e+02 1.120027637481689e+01
5.458645539817411e+00 -3.194243082583335e+00 2.125090942382812e+02 1.120027637481689e+01
5.664849725214040e+00 -2.215734097481556e+00 2.125090942382812e+02 1.120027637481689e+01
5.871053910610670e+00 -1.237225112379778e+00 2.125090942382812e+02 1.120027637481689e+01
6.077258096007300e+00 -2.587161272779995e-01 2.125090942382812e+02 1.120027637481689e+01
6.283462281403930e+00 7.197928578237789e-01 2.125090942382812e+02 1.120027637481689e+01
6.489666466800559e+00 1.698301842925557e+00 2.125090942382812e+02 1.120027637481689e+01
6.695870652197189e+00 2.676810828027336e+00 2.125090942382812e+02 1.120027637481689e+01
6.902074837593819e+00 3.655319813129114e+00 2.515979309082031e+02 1.624359130859375e+01
7.108279022990448e+00 4.633828798230892e+00 1.829666290283203e+02 1.500946331024170e+01
7.314483208387077e+00 5.612337783332671e+00 1.829666290283203e+02 1.500946331024170e+01
7.520687393783708e+00 6.590846768434449e+00 4.127154541015625e+02 4.413436508178711e+01
7.726891579180338e+00 7.569355753536228e+00 2.248726196289062e+02 2.932072830200195e+01
7.933095764576967e+00 8.547864738638005e+00 2.248726196289062e+02 2.932072830200195e+01
8.139299949973596e+00 9.526373723739784e+00 2.251307525634766e+02 4.053106689453125e+01
2.830503071542595e+00 -1.081611077800093e+01 2.251307525634766e+02 4.053106689453125e+01
3.036707256939225e+00 -9.837601792899154e+00 2.248726196289062e+02 2.932072830200195e+01
3.242911442335854e+00 -8.859092807797376e+00 4.127154541015625e+02 4.413436508178711e+01
3.449115627732484e+00 -7.880583822695597e+00 1.829666290283203e+02 1.500946331024170e+01
3.655319813129114e+00 -6.902074837593819e+00 1.829666290283203e+02 1.500946331024170e+01
3.861523998525743e+00 -5.923565852492040e+00 2.515979309082031e+02 1.624359130859375e+01
4.067728183922373e+00 -4.945056867390262e+00 2.125090942382812e+02 1.120027637481689e+01
4.273932369319002e+00 -3.966547882288483e+00 2.125090942382812e+02 1.120027637481689e+01
4.480136554715632e+00 -2.988038897186705e+00 2.082040710449219e+02 8.967604637145996e+00
4.686340740112263e+00 -2.009529912084927e+00 2.082040710449219e+02 8.967604637145996e+00
4.892544925508892e+00 -1.031020926983148e+00 2.082040710449219e+02 8.967604637145996e+00
5.098749110905521e+00 -5.251194188136987e-02 2.082040710449219e+02 8.967604637145996e+00
5.304953296302151e+00 9.259970432204085e-01 2.082040710449219e+02 8.967604637145996e+00
5.511157481698781e+00 1.904506028322187e+00 2.082040710449219e+02 8.967604637145996e+00
5.717361667095410e+00 2.883015013423965e+00 2.125090942382812e+02 1.120027637481689e+01
5.923565852492040e+00 3.861523998525743e+00 2.515979309082031e+02 1.624359130859375e+01
6.129770037888670e+00 4.840032983627522e+00 2.515979309082031e+02 1.624359130859375e+01
6.335974223285300e+00 5.818541968729301e+00 1.829666290283203e+02 1.500946331024170e+01
6.542178408681929e+00 6.797050953831079e+00 4.127154541015625e+02 4.413436508178711e+01
