CMDLINE mpiexec --oversubscribe -n 6 python run.py
CHLD 3 103.351562 1616612182.9111
CHLD 4 103.667969 1616612182.9111
CHLD 5 103.039062 1616612182.9112
MEM 641.980469 1616612183.0181
CHLD 0 104.414062 1616612183.0266
CHLD 1 105.925781 1616612183.0266
CHLD 2 104.542969 1616612183.0266
CHLD 3 104.683594 1616612183.0266
CHLD 4 106.144531 1616612183.0267
CHLD 5 104.320312 1616612183.0267
MEM 652.777344 1616612183.1381
CHLD 0 106.449219 1616612183.1446
CHLD 1 106.812500 1616612183.1447
CHLD 2 106.574219 1616612183.1447
CHLD 3 106.730469 1616612183.1448
CHLD 4 107.035156 1616612183.1448
CHLD 5 106.367188 1616612183.1448
MEM 655.089844 1616612183.2557
CHLD 0 106.843750 1616612183.2635
CHLD 1 107.160156 1616612183.2636
CHLD 2 106.976562 1616612183.2636
CHLD 3 107.105469 1616612183.2636
CHLD 4 107.421875 1616612183.2637
CHLD 5 106.773438 1616612183.2637
MEM 656.917969 1616612183.3794
CHLD 0 107.148438 1616612183.3851
CHLD 1 107.464844 1616612183.3851
CHLD 2 107.281250 1616612183.3851
CHLD 3 107.414062 1616612183.3851
CHLD 4 107.726562 1616612183.3852
CHLD 5 107.074219 1616612183.3852
MEM 679.777344 1616612183.5015
CHLD 0 111.343750 1616612183.5132
CHLD 1 111.718750 1616612183.5133
CHLD 2 111.582031 1616612183.5133
CHLD 3 111.652344 1616612183.5133
CHLD 4 111.980469 1616612183.5133
CHLD 5 111.277344 1616612183.5134
MEM 696.941406 1616612183.6208
CHLD 0 113.789062 1616612183.6267
CHLD 1 114.070312 1616612183.6267
CHLD 2 114.003906 1616612183.6267
CHLD 3 114.121094 1616612183.6267
CHLD 4 114.421875 1616612183.6267
CHLD 5 113.726562 1616612183.6268
MEM 697.562500 1616612183.7412
CHLD 0 113.894531 1616612183.7468
CHLD 1 114.175781 1616612183.7468
CHLD 2 114.109375 1616612183.7469
CHLD 3 114.222656 1616612183.7469
CHLD 4 114.527344 1616612183.7469
CHLD 5 113.824219 1616612183.7470
MEM 710.894531 1616612183.8641
CHLD 0 116.757812 1616612183.8754
CHLD 1 117.039062 1616612183.8755
CHLD 2 116.941406 1616612183.8755
CHLD 3 117.980469 1616612183.8756
CHLD 4 117.398438 1616612183.8756
CHLD 5 116.679688 1616612183.8757
MEM 732.261719 1616612183.9868
CHLD 0 119.566406 1616612183.9971
CHLD 1 119.843750 1616612183.9972
CHLD 2 119.773438 1616612183.9972
CHLD 3 120.367188 1616612183.9972
CHLD 4 120.207031 1616612183.9973
CHLD 5 119.695312 1616612183.9973
MEM 737.750000 1616612184.1050
CHLD 0 120.656250 1616612184.1126
CHLD 1 121.003906 1616612184.1126
CHLD 2 120.863281 1616612184.1127
CHLD 3 121.070312 1616612184.1127
CHLD 4 121.367188 1616612184.1127
CHLD 5 120.640625 1616612184.1127
MEM 741.957031 1616612184.2246
CHLD 0 121.296875 1616612184.2319
CHLD 1 121.578125 1616612184.2320
CHLD 2 121.503906 1616612184.2320
CHLD 3 121.644531 1616612184.2320
CHLD 4 121.941406 1616612184.2320
CHLD 5 121.183594 1616612184.2320
MEM 749.449219 1616612184.3460
CHLD 0 122.542969 1616612184.3528
CHLD 1 122.824219 1616612184.3528
CHLD 2 122.750000 1616612184.3528
CHLD 3 122.894531 1616612184.3528
CHLD 4 123.179688 1616612184.3528
CHLD 5 122.449219 1616612184.3529
MEM 750.562500 1616612184.4644
CHLD 0 122.726562 1616612184.4738
CHLD 1 123.007812 1616612184.4738
CHLD 2 122.933594 1616612184.4739
CHLD 3 123.089844 1616612184.4739
CHLD 4 123.367188 1616612184.4739
CHLD 5 122.628906 1616612184.4739
MEM 754.652344 1616612184.5814
CHLD 0 123.417969 1616612184.5884
CHLD 1 123.691406 1616612184.5885
CHLD 2 123.609375 1616612184.5885
CHLD 3 123.765625 1616612184.5885
CHLD 4 124.050781 1616612184.5886
