# x[px] 	 y[px] 	 vrms[kms] 	 erms[km/s]
3.000000000000000000e+01 2.800000000000000000e+01 2.510970219943958455e+02 2.510970219943958455e+02
3.100000000000000000e+01 2.800000000000000000e+01 2.510970219943958455e+02 2.510970219943958455e+02
3.200000000000000000e+01 2.800000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.300000000000000000e+01 2.800000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.400000000000000000e+01 2.800000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.500000000000000000e+01 2.800000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.600000000000000000e+01 2.800000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
3.700000000000000000e+01 2.800000000000000000e+01 2.343610129149222132e+02 2.343610129149222132e+02
2.100000000000000000e+01 2.900000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.200000000000000000e+01 2.900000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.300000000000000000e+01 2.900000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.400000000000000000e+01 2.900000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.500000000000000000e+01 2.900000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.600000000000000000e+01 2.900000000000000000e+01 2.244094543146207172e+02 2.244094543146207172e+02
2.700000000000000000e+01 2.900000000000000000e+01 2.244094543146207172e+02 2.244094543146207172e+02
2.800000000000000000e+01 2.900000000000000000e+01 2.655481450466842830e+02 2.655481450466842830e+02
2.900000000000000000e+01 2.900000000000000000e+01 2.474619983721264305e+02 2.474619983721264305e+02
3.000000000000000000e+01 2.900000000000000000e+01 2.388691449645768614e+02 2.388691449645768614e+02
3.100000000000000000e+01 2.900000000000000000e+01 2.388691449645768614e+02 2.388691449645768614e+02
3.200000000000000000e+01 2.900000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.300000000000000000e+01 2.900000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.400000000000000000e+01 2.900000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.500000000000000000e+01 2.900000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.600000000000000000e+01 2.900000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.700000000000000000e+01 2.900000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.800000000000000000e+01 2.900000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
2.100000000000000000e+01 3.000000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.200000000000000000e+01 3.000000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.300000000000000000e+01 3.000000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.400000000000000000e+01 3.000000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.500000000000000000e+01 3.000000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.600000000000000000e+01 3.000000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.700000000000000000e+01 3.000000000000000000e+01 2.655481450466842830e+02 2.655481450466842830e+02
2.800000000000000000e+01 3.000000000000000000e+01 2.655481450466842830e+02 2.655481450466842830e+02
2.900000000000000000e+01 3.000000000000000000e+01 2.571974741109730189e+02 2.571974741109730189e+02
3.000000000000000000e+01 3.000000000000000000e+01 2.571974741109730189e+02 2.571974741109730189e+02
3.100000000000000000e+01 3.000000000000000000e+01 2.394806961852755762e+02 2.394806961852755762e+02
3.200000000000000000e+01 3.000000000000000000e+01 2.394806961852755762e+02 2.394806961852755762e+02
3.300000000000000000e+01 3.000000000000000000e+01 2.394806961852755762e+02 2.394806961852755762e+02
3.400000000000000000e+01 3.000000000000000000e+01 2.365029489500194870e+02 2.365029489500194870e+02
3.500000000000000000e+01 3.000000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.600000000000000000e+01 3.000000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
3.700000000000000000e+01 3.000000000000000000e+01 2.205653724879741731e+02 2.205653724879741731e+02
2.100000000000000000e+01 3.100000000000000000e+01 2.375001942239749440e+02 2.375001942239749440e+02
2.200000000000000000e+01 3.100000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.300000000000000000e+01 3.100000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.400000000000000000e+01 3.100000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.500000000000000000e+01 3.100000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.600000000000000000e+01 3.100000000000000000e+01 2.183586294148527998e+02 2.183586294148527998e+02
2.700000000000000000e+01 3.100000000000000000e+01 2.374604468573137694e+02 2.374604468573137694e+02
2.800000000000000000e+01 3.100000000000000000e+01 2.374604468573137694e+02 2.374604468573137694e+02
