# y_px x_px vel(km/s) disp(km/s) chi2/DOF 1-sigma
5 12 -3.221464003662001119e+02 3.487186685894035350e+02 1.402525120289560112e+00 1.071527166343956416e+01
5 13 -3.106234993369654944e+02 3.143411438697128233e+02 1.109626017853081681e+00 9.143606816819778160e+00
5 14 -3.101557695206773815e+02 3.292655522177856255e+02 1.359666549469172203e+00 1.121431473473047546e+01
5 15 -3.142738570817502932e+02 2.887630721824348825e+02 1.293535897996709094e+00 1.115486660721765233e+01
5 16 -3.163114926910534450e+02 3.331645540091141129e+02 1.300564385345946095e+00 1.433596111308071031e+01
5 17 -2.864667259918848572e+02 3.010573188797460489e+02 1.714582926791680118e+00 1.379931826792846827e+01
5 18 -2.872163613860614646e+02 2.980131120057201883e+02 1.472243109719221010e+00 1.389072233451988403e+01
5 19 -3.108546513475733377e+02 3.363321905259438722e+02 1.395998664088452079e+00 1.995923166907549984e+01
6 0 -3.373332592577887112e+02 3.180089570017512415e+02 1.419380159312496836e+00 1.796414323981579386e+01
6 1 -3.235175032906392971e+02 3.297456976306199863e+02 1.340516867531253986e+00 1.622196039947366941e+01
6 2 -3.472745753920865468e+02 3.413757509066757621e+02 1.363871914194006107e+00 1.689235538645854362e+01
6 3 -3.072643546462924746e+02 3.231184153540351645e+02 1.341007569012364620e+00 1.468188310586337231e+01
6 4 -3.313750615897075136e+02 3.439469793775758717e+02 1.282308417731661487e+00 1.308708162049775403e+01
6 5 -3.187929065603332219e+02 3.346522269346905318e+02 1.458436671091792203e+00 1.171239087162512149e+01
6 6 -3.371623920298376333e+02 3.279421213305280958e+02 1.279854995572977217e+00 1.013365414793053176e+01
6 7 -3.113249003312689069e+02 3.283057726830724050e+02 1.279567725819012125e+00 8.356154671440496173e+00
6 8 -3.292223885087284430e+02 3.507247811975391869e+02 1.244850688551562445e+00 8.023667217291416520e+00
6 9 -3.299197113650341180e+02 3.311697160429623068e+02 1.159784239125675409e+00 7.150686113671923749e+00
6 10 -2.991195726849783796e+02 3.312416645632845302e+02 1.170160565967973021e+00 6.604495968387244176e+00
6 11 -3.217566414082382380e+02 3.209342904080473886e+02 1.120697342468987001e+00 6.858548721818203298e+00
6 12 -3.230883437595981036e+02 3.093722614130566626e+02 1.238406157554326148e+00 7.353074732059923235e+00
6 13 -3.236402838670529150e+02 3.073903944996079645e+02 1.459896932726106655e+00 8.352639940324444012e+00
6 14 -3.105541257537809088e+02 3.168360503012121399e+02 1.347776762059646138e+00 8.999860482517920701e+00
