_RAJ2000,_DEJ2000,_r,RA_ICRS,DE_ICRS,mode,q_mode,class,SDSS12,m_SDSS12,ObsDate,Q,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zsp,zph,e_zph,<zph>
135.792574,0.657873,0.008283,135.792574,0.657873,1,+,6,J090310.21+003928.3,,1999.2202,3,24.02,0.692,21.511,0.059,20.026,0.021,19.406,0.019,19.096,0.048,,,,
135.794307,0.643669,0.009044,135.794307,0.643669,1,+,6,J090310.63+003837.2,,1999.2202,3,24.194,0.771,22.091,0.097,20.517,0.031,19.561,0.022,19.162,0.052,,,,
135.79597,0.638413,0.013595,135.79597,0.638413,1,+,3,J090311.03+003818.2,,1999.2202,3,23.404,0.811,22.142,0.157,20.814,0.065,20.161,0.058,19.546,0.118,,0.4361,0.0705,0.4514
135.801069,0.662081,0.010648,135.801069,0.662081,1,+,3,J090312.25+003943.4,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.25%2b003943.4,1999.2202,3,23.135,0.656,22.389,0.194,21.441,0.111,20.702,0.092,20.14,0.2,,0.5675,0.089,0.5791
135.803054,0.657391,0.007372,135.803054,0.657391,1,,3,J090312.73+003926.6,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.73%2b003926.6,1999.2202,3,24.754,1.172,22.133,0.136,21.338,0.087,21.177,0.121,21.012,0.368,,0.2969,0.1238,0.2556
135.80238,0.657615,0.00713,135.80238,0.657615,1,+,3,J090312.57+003927.4,,1999.2202,3,24.474,0.802,24.505,0.637,22.568,0.175,22.263,0.209,21.455,0.357,,0.4828,0.0717,0.4157
135.793833,0.662257,0.011325,135.793833,0.662257,1,+,6,J090310.51+003944.1,,1999.2202,3,24.472,0.822,24.826,0.725,22.536,0.175,22.214,0.205,22.068,0.549,,,,
135.80586,0.657718,0.009646,135.80586,0.657718,1,+,3,J090313.40+003927.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090313.40%2b003927.7,1999.2202,3,25.84,0.578,23.091,0.27,21.574,0.09,20.924,0.08,20.515,0.201,,0.4445,0.0671,0.4039
135.808826,0.655148,0.011109,135.808826,0.655148,1,+,3,J090314.11+003918.5,,1999.2202,3,24.917,1.181,22.83,0.263,21.117,0.075,20.323,0.059,19.998,0.157,,0.4806,0.0404,0.4636
135.791526,0.646409,0.008612,135.791526,0.646409,1,,3,J090309.96+003847.0,,1999.2202,3,23.534,0.626,23.085,0.262,22.685,0.23,21.615,0.143,21.735,0.514,,0.6826,0.1162,0.6301
135.797048,0.644665,0.00725,135.797048,0.644665,1,,3,J090311.29+003840.7,,1999.2202,3,24.048,0.806,23.281,0.297,23.163,0.325,21.923,0.176,22.6,0.736,,0.4871,0.1437,0.3665
135.796713,0.658863,0.007205,135.796713,0.658863,2,,6,J090311.21+003931.9,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.21%2b003931.9,2000.34,1,17.835,0.012,16.297,0.004,15.694,0.004,15.513,0.005,15.418,0.006,,,,
135.797666,0.657722,0.00593,135.797666,0.657722,2,,6,J090311.43+003927.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090311.43%2b003927.7,2000.34,1,23.514,0.766,22.221,0.136,20.531,0.051,19.016,0.018,18.205,0.029,,,,
135.788877,0.65908,0.011838,135.788877,0.65908,2,,6,J090309.33+003932.6,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090309.33%2b003932.6,2000.34,1,19.814,0.039,18.628,0.009,18.164,0.009,18.01,0.009,17.957,0.023,,,,
135.801564,0.652375,0.003383,135.801564,0.652375,2,,6,J090312.37+003908.5,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090312.37%2b003908.5,2000.34,1,19.555,0.033,19.089,0.012,19.012,0.014,18.997,0.016,18.765,0.044,,,,
135.803011,0.654168,0.005329,135.803011,0.654168,2,,3,J090312.72+003915.0,,2000.34,1,23.366,1.078,21.384,0.1,19.874,0.043,19.368,0.035,19.054,0.098,,,,
135.801042,0.650952,0.002945,135.801042,0.650952,2,,3,J090312.25+003903.4,,2000.34,1,24.799,1.411,23.578,0.507,21.422,0.117,20.859,0.088,21.327,0.501,,,,
135.800523,0.654069,0.003215,135.800523,0.654069,2,,6,J090312.12+003914.6,,2000.34,1,24.96,1.073,23.132,0.274,21.864,0.131,21.388,0.106,20.76,0.236,,,,
135.804185,0.648706,0.006722,135.804185,0.648706,2,,6,J090313.00+003855.3,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090313.00%2b003855.3,2000.34,1,21.951,0.205,19.366,0.014,17.885,0.008,16.996,0.006,16.488,0.009,,,,
135.803978,0.649996,0.006033,135.803978,0.649996,2,,3,J090312.95+003859.9,,2000.34,1,21.821,0.376,20.659,0.068,20.444,0.119,20.039,0.087,19.886,0.275,,,,
135.793282,0.652704,0.005023,135.793282,0.652704,2,,6,J090310.38+003909.7,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=V/147&SDSS12=J090310.38%2b003909.7,2000.34,1,22.426,0.304,20.285,0.026,18.973,0.014,18.396,0.011,18.105,0.026,,,,
135.793242,0.653542,0.005274,135.793242,0.653542,2,,6,J090310.37+003912.7,,2000.34,1,24.523,1.124,24.216,0.634,23.129,0.392,21.883,0.164,22.289,0.704,,,,
135.793683,0.651066,0.004606,135.793683,0.651066,2,,3,J090310.48+003903.8,,2000.34,1,23.611,0.877,25.108,1.007,23.672,0.719,22.163,0.256,22.599,0.926,,,,
