# y_px 	 x_px 	 Bin_Id
 27.000000  19.000000        6
 27.000000  20.000000        5
 27.000000  21.000000        5
 27.000000  22.000000        4
 27.000000  23.000000        3
 27.000000  24.000000        3
 27.000000  25.000000        2
 27.000000  26.000000        2
 27.000000  27.000000        1
 27.000000  28.000000        1
 27.000000  29.000000        1
 27.000000  30.000000        1
 27.000000  31.000000        1
 27.000000  32.000000        2
 27.000000  33.000000        2
 27.000000  34.000000        3
 27.000000  35.000000        3
 27.000000  36.000000        4
 27.000000  37.000000        4
 27.000000  38.000000        5
 27.000000  39.000000        6
 27.000000  40.000000        6
 27.000000  41.000000        7
 28.000000  18.000000        6
 28.000000  19.000000        6
 28.000000  20.000000        5
 28.000000  21.000000        4
 28.000000  22.000000        4
 28.000000  23.000000        3
 28.000000  24.000000        3
 28.000000  25.000000        2
 28.000000  26.000000        1
 28.000000  27.000000        1
 28.000000  28.000000        0
 28.000000  29.000000        0
 28.000000  30.000000        0
 28.000000  31.000000        1
 28.000000  32.000000        1
 28.000000  33.000000        2
 28.000000  34.000000        3
 28.000000  35.000000        3
 28.000000  36.000000        4
 28.000000  37.000000        4
 28.000000  38.000000        5
 28.000000  39.000000        6
 28.000000  40.000000        6
 28.000000  41.000000        7
 29.000000  17.000000        7
 29.000000  18.000000        6
 29.000000  19.000000        6
 29.000000  20.000000        5
 29.000000  21.000000        4
 29.000000  22.000000        4
 29.000000  23.000000        3
 29.000000  24.000000        3
 29.000000  25.000000        2
 29.000000  26.000000        1
 29.000000  27.000000        1
 29.000000  28.000000        0
 29.000000  29.000000        0
 29.000000  30.000000        0
 29.000000  31.000000        1
 29.000000  32.000000        1
 29.000000  33.000000        2
 29.000000  34.000000        3
 29.000000  35.000000        3
 29.000000  36.000000        4
 29.000000  37.000000        4
 29.000000  38.000000        5
 29.000000  39.000000        6
 29.000000  40.000000        6
 29.000000  41.000000        7
 30.000000  18.000000        6
 30.000000  19.000000        6
 30.000000  20.000000        5
 30.000000  21.000000        4
 30.000000  22.000000        4
 30.000000  23.000000        3
 30.000000  24.000000        3
 30.000000  25.000000        2
 30.000000  26.000000        1
 30.000000  27.000000        1
 30.000000  28.000000        0
 30.000000  29.000000        0
 30.000000  30.000000        0
 30.000000  31.000000        1
 30.000000  32.000000        1
 30.000000  33.000000        2
 30.000000  34.000000        3
 30.000000  35.000000        3
 30.000000  36.000000        4
 30.000000  37.000000        4
 30.000000  38.000000        5
 30.000000  39.000000        6
 30.000000  40.000000        6
 30.000000  41.000000        7
 31.000000  18.000000        6
 31.000000  19.000000        6
 31.000000  20.000000        5
 31.000000  21.000000        4
 31.000000  22.000000        4
 31.000000  23.000000        3
 31.000000  24.000000        3
 31.000000  25.000000        2
 31.000000  26.000000        2
 31.000000  27.000000        1
 31.000000  28.000000        1
 31.000000  29.000000        1
 31.000000  30.000000        1
 31.000000  31.000000        1
 31.000000  32.000000        2
 31.000000  33.000000        2
 31.000000  34.000000        3
 31.000000  35.000000        3
 31.000000  36.000000        4
 31.000000  37.000000        5
 31.000000  38.000000        5
 31.000000  39.000000        6
 31.000000  40.000000        6
 32.000000  18.000000        6
 32.000000  19.000000        6
 32.000000  20.000000        5
 32.000000  21.000000        4
 32.000000  22.000000        4
 32.000000  23.000000        3
 32.000000  24.000000        3
 32.000000  25.000000        2
 32.000000  26.000000        2
 32.000000  27.000000        1
 32.000000  28.000000        1
 32.000000  29.000000        1
 32.000000  30.000000        1
 32.000000  31.000000        2
 32.000000  32.000000        2
 32.000000  33.000000        2
 32.000000  34.000000        3
 32.000000  35.000000        4
 32.000000  36.000000        4
 32.000000  37.000000        5
 32.000000  38.000000        5
 32.000000  39.000000        6
 32.000000  40.000000        6
 33.000000  18.000000        6
 33.000000  19.000000        6
 33.000000  20.000000        5
 33.000000  21.000000        5
 33.000000  22.000000        4
 33.000000  23.000000        4
 33.000000  24.000000        3
 33.000000  25.000000        3
 33.000000  26.000000        2
 33.000000  27.000000        2
 33.000000  28.000000        2
 33.000000  29.000000        2
 33.000000  30.000000        2
 33.000000  31.000000        2
 33.000000  32.000000        2
 33.000000  33.000000        3
 33.000000  34.000000        3
 33.000000  35.000000        4
 33.000000  36.000000        4
 33.000000  37.000000        5
 33.000000  38.000000        5
 33.000000  39.000000        6
 33.000000  40.000000        7
 34.000000  18.000000        6
 34.000000  19.000000        6
 34.000000  20.000000        5
 34.000000  21.000000        5
 34.000000  22.000000        4
 34.000000  23.000000        4
 34.000000  24.000000        3
 34.000000  25.000000        3
 34.000000  26.000000        2
 34.000000  27.000000        2
 34.000000  28.000000        2
 34.000000  29.000000        2
 34.000000  30.000000        2
 34.000000  31.000000        2
 34.000000  32.000000        3
