# y_px x_px y_arcs x_arcs
4 29 2.341998490986333309e+03 4.888742491122098872e+05
4 30 2.341998490995424618e+03 4.888740490993171115e+05
4 31 2.341998491002329501e+03 4.888738490864244523e+05
4 32 2.341998491006937002e+03 4.888736490735316765e+05
4 33 2.341998491009394002e+03 4.888734490606390173e+05
4 34 2.341998491009641839e+03 4.888732490477462416e+05
4 35 2.341998491007701432e+03 4.888730490348535241e+05
4 36 2.341998491003565960e+03 4.888728490219607484e+05
4 37 2.341998490997224053e+03 4.888726490090680891e+05
4 38 2.341998490988613412e+03 4.888724489961753134e+05
4 39 2.341998490977953679e+03 4.888722489832826541e+05
4 40 2.341998490964951543e+03 4.888720489703898784e+05
4 41 2.341998490949839834e+03 4.888718489574972191e+05
4 42 2.341998490932463028e+03 4.888716489446045016e+05
4 43 2.341998490912872512e+03 4.888714489317117259e+05
4 44 2.341998490891167876e+03 4.888712489188190666e+05
4 45 2.341998490867150849e+03 4.888710489059262909e+05
4 46 2.341998490840978775e+03 4.888708488930336316e+05
4 47 2.341998490812640284e+03 4.888706488801409723e+05
4 48 2.341998490782062163e+03 4.888704488672482548e+05
4 49 2.341998490749284429e+03 4.888702488543555955e+05
4 50 2.341998490714296622e+03 4.888700488414629363e+05
4 51 2.341998490677127393e+03 4.888698488285702770e+05
4 52 2.341998490637797659e+03 4.888696488156775595e+05
4 53 2.341998490596147803e+03 4.888694488027849002e+05
4 54 2.341998490552406111e+03 4.888692487898922409e+05
4 55 2.341998490506410235e+03 4.888690487769995816e+05
4 56 2.341998490458201559e+03 4.888688487641069805e+05
4 57 2.341998490407850568e+03 4.888686487512143212e+05
4 58 2.341998490355243121e+03 4.888684487383217202e+05
4 59 2.341998490300453341e+03 4.888682487254290609e+05
5 0 2.342198489765355134e+03 4.888800494861708139e+05
5 1 2.342198489838328442e+03 4.888798494732760009e+05
5 2 2.342198489909011641e+03 4.888796494603813626e+05
5 3 2.342198489977556619e+03 4.888794494474865496e+05
5 4 2.342198490043903348e+03 4.888792494345917366e+05
5 5 2.342198490107994530e+03 4.888790494216969819e+05
5 6 2.342198490169918387e+03 4.888788494088022853e+05
5 7 2.342198490229616709e+03 4.888786493959074724e+05
5 8 2.342198490287124969e+03 4.888784493830126012e+05
5 9 2.342198490342448167e+03 4.888782493701177882e+05
5 10 2.342198490395573117e+03 4.888780493572229752e+05
5 11 2.342198490446452524e+03 4.888778493443281623e+05
5 12 2.342198490495185069e+03 4.888776493314333493e+05
5 13 2.342198490541725732e+03 4.888774493185384199e+05
5 14 2.342198490585986747e+03 4.888772493056436069e+05
5 15 2.342198490628084528e+03 4.888770492927487940e+05
5 16 2.342198490667990427e+03 4.888768492798538646e+05
5 17 2.342198490705693075e+03 4.888766492669589934e+05
5 18 2.342198490741185196e+03 4.888764492540641222e+05
5 19 2.342198490774424045e+03 4.888762492411692510e+05
5 20 2.342198490805550136e+03 4.888760492282743216e+05
5 21 2.342198490834427957e+03 4.888758492153794505e+05
5 22 2.342198490861105711e+03 4.888756492024845211e+05
5 23 2.342198490885625233e+03 4.888754491895895917e+05
5 24 2.342198490907892847e+03 4.888752491766946623e+05
5 25 2.342198490927951752e+03 4.888750491637998493e+05
5 26 2.342198490945827871e+03 4.888748491509049200e+05
5 27 2.342198490961523021e+03 4.888746491380099906e+05
5 28 2.342198490975004916e+03 4.888744491251149448e+05
