# y_px x_px vel(km/s) disp(km/s) chi2/DOF dV dsigma
3 10 -2.817351032021804826e+02 3.059412377167500381e+02 1.000000015156035760e+00 1.280832088824595338e+01 1.212376320447279454e+01
3 11 -3.354202002340664421e+02 3.234637825613489213e+02 9.999999706540154687e-01 1.204872833326918524e+01 1.156286448491288787e+01
3 12 -3.058018751910302058e+02 3.259686344176988655e+02 9.999999761893390016e-01 1.435609948872151875e+01 1.335251350599013875e+01
3 13 -3.258720465617176956e+02 3.157653145295940931e+02 1.000000019734868628e+00 1.395578046011039852e+01 1.364216813352519253e+01
3 14 -2.774913534556922059e+02 2.811618651097713837e+02 1.000000041579301113e+00 1.247322918253757251e+01 1.299906814700134916e+01
3 15 -3.218395786005494301e+02 3.069039351036856829e+02 9.999999562641456174e-01 1.567429320274281679e+01 1.466106887105194012e+01
3 16 -3.186310265780296618e+02 3.036357827465050150e+02 9.999999715841049186e-01 1.620554042820457852e+01 1.532927185814180149e+01
3 17 -2.972392826446851473e+02 3.691285043785678681e+02 9.999999572646063317e-01 2.260617515553201429e+01 2.237112638428709843e+01
3 18 -3.027790225421373975e+02 2.765766518062643513e+02 1.000000008528964424e+00 1.530278332227046612e+01 1.468534570511055115e+01
3 19 -3.151844683335311288e+02 2.732468709638753239e+02 1.000000030428362052e+00 1.833068741248104416e+01 1.774114402292645920e+01
4 0 -3.429603125784939834e+02 2.711925005609327854e+02 9.999999646502036876e-01 1.908216874746034009e+01 1.898653490689862977e+01
4 1 -2.958966893023168154e+02 3.267968324252266825e+02 9.999999831296816355e-01 2.030386795078923967e+01 1.958738802914398747e+01
4 2 -3.269952697993949755e+02 2.707735962173230178e+02 1.000000044364001806e+00 1.486816634470859277e+01 1.473965254366697941e+01
4 3 -3.525806918075352314e+02 3.236502127562833948e+02 9.999999581431460172e-01 1.710584014893350258e+01 1.666589448272908314e+01
4 4 -3.048685711060926451e+02 3.101500807895491221e+02 1.000000019723281452e+00 1.464550320795311045e+01 1.415960352517909548e+01
4 5 -2.959487868802318644e+02 3.008522613740598786e+02 9.999999981824857498e-01 1.362940420085333315e+01 1.287324849200375532e+01
4 6 -3.405093312202756692e+02 3.177150445993555081e+02 9.999999456691980315e-01 1.411181182923360211e+01 1.376145394152396939e+01
4 7 -3.427685442109541896e+02 3.206490189867650429e+02 1.000000024078882666e+00 1.441386396944938220e+01 1.402097027361447878e+01
4 8 -3.414039053675087416e+02 3.022931845670207736e+02 9.999999659452211143e-01 1.132268272783129248e+01 1.096307613895594280e+01
4 9 -3.086717622148200917e+02 3.268720272436069649e+02 1.000000011473021200e+00 1.247918506853537046e+01 1.220582192362971519e+01
4 10 -3.100875513148005780e+02 3.194478604984271897e+02 1.000000045497883461e+00 9.907274045826994779e+00 9.658737698997049037e+00
4 11 -3.017877963403067838e+02 3.337104451536290526e+02 9.999999564791238749e-01 1.098042991159747572e+01 1.070097827676628732e+01
4 12 -3.259488619206699127e+02 3.355002949664336711e+02 1.000000022460100890e+00 1.281788585144119352e+01 1.217513250983264683e+01
4 13 -3.141231252314751146e+02 3.167522193720026280e+02 1.000000002221883344e+00 1.123447129473416339e+01 1.070438071528686841e+01
4 14 -2.967393567834966461e+02 3.072266227921884365e+02 1.000000006123347163e+00 1.353333755012839568e+01 1.315459325885011843e+01
4 15 -2.999378252711033497e+02 3.364359116770376090e+02 1.000000001212657308e+00 1.389411963561302166e+01 1.346913016769924099e+01
4 16 -3.305513274899572593e+02 3.488879627744207141e+02 9.999999989277589263e-01 1.570787913370420874e+01 1.511511412004202448e+01
4 17 -3.215294125849910643e+02 2.916374097006177522e+02 1.000000038145460568e+00 1.316440971594704656e+01 1.279298920296760045e+01
4 18 -3.150935634438051238e+02 2.814949803027915891e+02 1.000000037021222088e+00 1.548344582758188182e+01 1.519991292850375331e+01
4 19 -3.185428587452984175e+02 3.048860813795539570e+02 1.000000025203358289e+00 1.913371608021103398e+01 1.872940359521363973e+01
5 0 -2.997380601894957977e+02 3.208316048374976504e+02 9.999999767331909650e-01 2.079942296021718207e+01 2.071980164691257542e+01
