# y_px 	 x_px 	 Bin_Id
 29.000000  22.000000        8
 29.000000  23.000000        7
 29.000000  24.000000        6
 29.000000  25.000000        4
 29.000000  26.000000        3
 29.000000  27.000000        2
 29.000000  28.000000        1
 29.000000  29.000000        0
 29.000000  30.000000        1
 29.000000  31.000000        2
 29.000000  32.000000        3
 29.000000  33.000000        4
 29.000000  34.000000        6
 29.000000  35.000000        7
 29.000000  36.000000        8
 29.000000  37.000000        9
 29.000000  38.000000       10
 29.000000  39.000000       12
 30.000000  19.000000       12
 30.000000  20.000000       10
 30.000000  21.000000        9
 30.000000  22.000000        8
 30.000000  23.000000        7
 30.000000  24.000000        6
 30.000000  25.000000        4
 30.000000  26.000000        3
 30.000000  27.000000        2
 30.000000  28.000000        1
 30.000000  29.000000        1
 30.000000  30.000000        1
 30.000000  31.000000        2
 30.000000  32.000000        3
 30.000000  33.000000        5
 30.000000  34.000000        6
 30.000000  35.000000        7
 30.000000  36.000000        8
 30.000000  37.000000        9
 30.000000  38.000000       11
 30.000000  39.000000       12
 31.000000  20.000000       10
 31.000000  21.000000        9
 31.000000  22.000000        8
 31.000000  23.000000        7
 31.000000  24.000000        6
 31.000000  25.000000        5
 31.000000  26.000000        4
 31.000000  27.000000        3
 31.000000  28.000000        2
 31.000000  29.000000        2
 31.000000  30.000000        2
 31.000000  31.000000        3
 31.000000  32.000000        4
 31.000000  33.000000        5
 31.000000  34.000000        6
 31.000000  35.000000        7
 31.000000  36.000000        8
 31.000000  37.000000       10
 31.000000  38.000000       11
 31.000000  39.000000       12
 32.000000  20.000000       11
 32.000000  21.000000        9
 32.000000  22.000000        8
 32.000000  23.000000        7
 32.000000  24.000000        6
 32.000000  25.000000        5
 32.000000  26.000000        4
 32.000000  27.000000        3
 32.000000  28.000000        3
 32.000000  29.000000        3
 32.000000  30.000000        3
 32.000000  31.000000        4
 32.000000  32.000000        4
 32.000000  33.000000        5
 32.000000  34.000000        6
 32.000000  35.000000        8
 32.000000  36.000000        9
 32.000000  37.000000       10
 32.000000  38.000000       11
 33.000000  21.000000       10
 33.000000  22.000000        9
 33.000000  23.000000        8
 33.000000  24.000000        7
 33.000000  25.000000        6
 33.000000  26.000000        5
 33.000000  27.000000        4
 33.000000  28.000000        4
 33.000000  29.000000        4
 33.000000  30.000000        4
 33.000000  31.000000        4
 33.000000  32.000000        5
 33.000000  33.000000        6
 33.000000  34.000000        7
 33.000000  35.000000        8
 33.000000  36.000000        9
 33.000000  37.000000       10
 33.000000  38.000000       11
 34.000000  21.000000       10
 34.000000  22.000000        9
 34.000000  23.000000        8
 34.000000  24.000000        7
 34.000000  25.000000        6
 34.000000  26.000000        5
 34.000000  27.000000        5
 34.000000  28.000000        5
 34.000000  29.000000        5
 34.000000  30.000000        5
 34.000000  31.000000        5
 34.000000  32.000000        6
 34.000000  33.000000        7
 34.000000  34.000000        8
 34.000000  35.000000        9
 34.000000  36.000000       10
 34.000000  37.000000       11
 34.000000  38.000000       12
 35.000000  21.000000       11
 35.000000  22.000000       10
 35.000000  23.000000        9
 35.000000  24.000000        8
 35.000000  25.000000        7
 35.000000  26.000000        6
 35.000000  27.000000        6
 35.000000  28.000000        6
 35.000000  29.000000        6
 35.000000  30.000000        6
 35.000000  31.000000        6
 35.000000  32.000000        7
 35.000000  33.000000        8
 35.000000  34.000000        8
 35.000000  35.000000        9
 35.000000  36.000000       10
 35.000000  37.000000       11
 36.000000  22.000000       10
 36.000000  23.000000        9
 36.000000  24.000000        8
 36.000000  25.000000        8
 36.000000  26.000000        7
 36.000000  27.000000        7
 36.000000  28.000000        7
 36.000000  29.000000        7
 36.000000  30.000000        7
 36.000000  31.000000        7
 36.000000  32.000000        8
 36.000000  33.000000        8
 36.000000  34.000000        9
 36.000000  35.000000       10
 36.000000  36.000000       11
 36.000000  37.000000       12
 37.000000  22.000000       11
 37.000000  23.000000       10
 37.000000  24.000000        9
 37.000000  25.000000        9
 37.000000  26.000000        8
 37.000000  27.000000        8
 37.000000  28.000000        8
 37.000000  29.000000        8
 37.000000  30.000000        8
 37.000000  31.000000        8
 37.000000  32.000000        9
 37.000000  33.000000        9
 37.000000  34.000000       10
 37.000000  35.000000       11
 37.000000  36.000000       12
 37.000000  37.000000       13
 38.000000  22.000000       11
 38.000000  23.000000       11
 38.000000  24.000000       10
 38.000000  25.000000        9
 38.000000  26.000000        9
 38.000000  27.000000        9
 38.000000  28.000000        9
 38.000000  29.000000        9
 38.000000  30.000000        9
 38.000000  31.000000        9
 38.000000  32.000000       10
 38.000000  33.000000       10
 38.000000  34.000000       11
 38.000000  35.000000       12
 39.000000  23.000000       11
 39.000000  24.000000       11
 39.000000  25.000000       10
 39.000000  26.000000       10
 39.000000  27.000000       10
 39.000000  28.000000       10
 39.000000  29.000000       10
 39.000000  30.000000       10
 39.000000  31.000000       10
 39.000000  32.000000       11
 39.000000  33.000000       11
 40.000000  24.000000       12
 40.000000  26.000000       11
 40.000000  27.000000       11
 40.000000  28.000000       11
 40.000000  29.000000       11
 40.000000  30.000000       11
 40.000000  31.000000       11
 40.000000  32.000000       11
 41.000000  24.000000       13
 41.000000  25.000000       12
 41.000000  26.000000       12
 41.000000  27.000000       12
 41.000000  28.000000       12
 41.000000  29.000000       12
 41.000000  30.000000       12
 41.000000  31.000000       12
 42.000000  26.000000       13
 42.000000  27.000000       13
 42.000000  31.000000       13
