# y_px x_px vel(km/s) disp(km/s)
3 6 9.980223166358447997e+03 3.504085019705256059e+02
3 7 9.987114990142688839e+03 3.491545564228146077e+02
3 8 9.998559941433995846e+03 3.269313859741485544e+02
3 9 9.972388638742735566e+03 3.167740568350577064e+02
4 0 1.001063607622611016e+04 3.395727300369212003e+02
4 1 1.000699170441239039e+04 3.342058406392267784e+02
4 2 9.991314442401433553e+03 3.355216755797724204e+02
4 3 9.996378337795842526e+03 3.583049134245947585e+02
4 4 9.998028723132109008e+03 3.875486322263314491e+02
4 5 9.991501092630831408e+03 3.873623960103142849e+02
4 6 9.991597450716672029e+03 3.537032129099123381e+02
4 7 1.000343155278874110e+04 3.339078604466111528e+02
4 8 9.983875946653539359e+03 3.276047336732283952e+02
4 9 9.998941615220634048e+03 3.328547088497228401e+02
5 0 1.000507759500308930e+04 3.205881810528403548e+02
5 1 1.001757266082374008e+04 3.190989166791756588e+02
5 2 1.000013216052484677e+04 3.416266868039419933e+02
5 3 9.998410505545740307e+03 3.605116135568820255e+02
5 4 9.999108744476234278e+03 3.839076448653864873e+02
5 5 9.997478885642618479e+03 3.739271027915745549e+02
5 6 9.995354621687451072e+03 3.417537213471895257e+02
5 7 9.993023075630499079e+03 3.503917576747992939e+02
5 8 9.998918618880827125e+03 3.231752504937538220e+02
5 9 9.995153606135272639e+03 3.248743456375522669e+02
6 0 9.997856445150673608e+03 3.182158385905620435e+02
6 1 1.000238941918553792e+04 3.261843032721716327e+02
6 2 1.000022251958695415e+04 3.243718631403230006e+02
6 3 1.000048733115590767e+04 3.530122636279049289e+02
6 4 1.000046293785554553e+04 3.501684363063025671e+02
6 5 9.995864190933300051e+03 3.464348847923584458e+02
6 6 9.980961252967903420e+03 3.399264268908790427e+02
6 7 9.989947363511051662e+03 3.138383297472350932e+02
6 8 1.001124422309476358e+04 3.172256794742615966e+02
6 9 9.978079193232457328e+03 3.378949657625146301e+02
7 0 1.000425509876586329e+04 3.080412077264093114e+02
7 1 1.000233337927899447e+04 3.196877430320897702e+02
7 2 9.983503434919073698e+03 3.265790475191106452e+02
7 3 1.000500854656589763e+04 3.048330809561791739e+02
7 4 1.001018394917922524e+04 3.373121061012872133e+02
7 5 1.000738200156068524e+04 3.458087658461349179e+02
7 6 1.000908025112142968e+04 3.407661601672248821e+02
7 7 1.000427395690786034e+04 3.525458269321352986e+02
7 8 9.985566882505640024e+03 3.243516111125534849e+02
7 9 1.001394508462976773e+04 3.074410448308692594e+02
8 0 9.993874881140069192e+03 3.479841015679126599e+02
8 1 1.002500884411303559e+04 3.313999917308298109e+02
8 2 9.999130636502712150e+03 3.255180690115446396e+02
8 3 9.988936107169709430e+03 3.238481169273151181e+02
8 4 9.989578530801829402e+03 3.320604964624456557e+02
8 5 9.999597941052979877e+03 3.447439916851803332e+02
8 6 1.000311525916181563e+04 3.359098550666924439e+02
8 7 9.999575920377246803e+03 2.998266820155079131e+02
8 8 9.988293548137848120e+03 3.029146633522979073e+02
8 9 1.000823000188615151e+04 3.438645581279611179e+02
9 0 1.000131166736831256e+04 3.038616842872258985e+02
9 1 1.001275963645060438e+04 3.476861666035761687e+02
9 2 1.001878216610021991e+04 3.177762528046990269e+02
9 3 9.999088087471380277e+03 3.183316824510295646e+02
9 4 1.002023938388092211e+04 3.297543533451724329e+02
9 5 1.000353552002281140e+04 3.300853249674016183e+02
9 6 1.002045073027703620e+04 3.305917872625869336e+02
9 7 9.966468471738466178e+03 3.181727135049418962e+02
9 8 9.998998674931699497e+03 3.198326872766514839e+02
9 9 9.982924239055984799e+03 3.288482427417007443e+02
