# x[px] 		 y[px] 		 Vrms[kms⁻¹] 		 Erms[kms⁻¹]
-6.396960692237586e+00 -2.954790845224019e+01 2.795461730957031e+02 8.892334938049316e+00
-5.469776837670798e+00 -2.917330185882428e+01 2.900201721191406e+02 6.932975292205811e+00
-4.542592983104010e+00 -2.879869526540837e+01 2.900201721191406e+02 6.932975292205811e+00
-3.615409128537223e+00 -2.842408867199245e+01 2.930611877441406e+02 5.710948467254639e+00
-2.688225273970437e+00 -2.804948207857654e+01 2.930611877441406e+02 5.710948467254639e+00
-1.761041419403648e+00 -2.767487548516063e+01 2.823609619140625e+02 6.177535533905029e+00
-8.338575648368600e-01 -2.730026889174472e+01 2.823609619140625e+02 6.177535533905029e+00
9.332628972992651e-02 -2.692566229832881e+01 2.894122924804688e+02 5.593411445617676e+00
1.020510144296713e+00 -2.655105570491289e+01 2.894122924804688e+02 5.593411445617676e+00
1.947693998863501e+00 -2.617644911149698e+01 2.932249755859375e+02 6.529096603393555e+00
2.874877853430289e+00 -2.580184251808107e+01 2.932249755859375e+02 6.529096603393555e+00
3.802061707997076e+00 -2.542723592466516e+01 2.935903930664062e+02 5.556482791900635e+00
4.729245562563864e+00 -2.505262933124925e+01 2.935903930664062e+02 5.556482791900635e+00
5.656429417130651e+00 -2.467802273783333e+01 2.935903930664062e+02 5.556482791900635e+00
6.583613271697438e+00 -2.430341614441742e+01 2.881392211914062e+02 5.851551532745361e+00
7.510797126264226e+00 -2.392880955100151e+01 2.881392211914062e+02 5.851551532745361e+00
8.437980980831014e+00 -2.355420295758560e+01 2.881392211914062e+02 5.851551532745361e+00
9.365164835397801e+00 -2.317959636416969e+01 2.881392211914062e+02 5.851551532745361e+00
1.029234868996459e+01 -2.280498977075377e+01 2.881392211914062e+02 5.851551532745361e+00
1.121953254453138e+01 -2.243038317733786e+01 3.005196533203125e+02 5.703739166259766e+00
1.214671639909816e+01 -2.205577658392195e+01 3.005196533203125e+02 5.703739166259766e+00
1.307390025366495e+01 -2.168116999050604e+01 3.005196533203125e+02 5.703739166259766e+00
1.400108410823174e+01 -2.130656339709013e+01 3.005196533203125e+02 5.703739166259766e+00
1.492826796279853e+01 -2.093195680367421e+01 3.005196533203125e+02 5.703739166259766e+00
1.585545181736531e+01 -2.055735021025830e+01 3.005196533203125e+02 5.703739166259766e+00
1.678263567193210e+01 -2.018274361684239e+01 3.005196533203125e+02 5.703739166259766e+00
1.770981952649889e+01 -1.980813702342648e+01 3.005196533203125e+02 5.703739166259766e+00
1.863700338106568e+01 -1.943353043001057e+01 2.881392211914062e+02 5.851551532745361e+00
1.956418723563246e+01 -1.905892383659465e+01 2.881392211914062e+02 5.851551532745361e+00
2.049137109019925e+01 -1.868431724317874e+01 2.881392211914062e+02 5.851551532745361e+00
2.141855494476604e+01 -1.830971064976283e+01 2.881392211914062e+02 5.851551532745361e+00
2.234573879933282e+01 -1.793510405634692e+01 2.935903930664062e+02 5.556482791900635e+00
2.327292265389961e+01 -1.756049746293101e+01 2.935903930664062e+02 5.556482791900635e+00
2.420010650846640e+01 -1.718589086951510e+01 2.935903930664062e+02 5.556482791900635e+00
2.512729036303319e+01 -1.681128427609918e+01 2.932249755859375e+02 6.529096603393555e+00
2.605447421759997e+01 -1.643667768268327e+01 2.932249755859375e+02 6.529096603393555e+00
2.698165807216676e+01 -1.606207108926736e+01 2.932249755859375e+02 6.529096603393555e+00
2.790884192673355e+01 -1.568746449585145e+01 2.894122924804688e+02 5.593411445617676e+00
2.883602578130034e+01 -1.531285790243554e+01 2.894122924804688e+02 5.593411445617676e+00
2.976320963586712e+01 -1.493825130901962e+01 2.823609619140625e+02 6.177535533905029e+00
3.069039349043391e+01 -1.456364471560371e+01 2.823609619140625e+02 6.177535533905029e+00
3.161757734500070e+01 -1.418903812218780e+01 2.930611877441406e+02 5.710948467254639e+00
3.254476119956749e+01 -1.381443152877189e+01 2.900201721191406e+02 6.932975292205811e+00
3.347194505413427e+01 -1.343982493535597e+01 2.900201721191406e+02 6.932975292205811e+00
3.439912890870106e+01 -1.306521834194006e+01 2.795461730957031e+02 8.892334938049316e+00
3.532631276326785e+01 -1.269061174852415e+01 2.795461730957031e+02 8.892334938049316e+00
3.625349661783464e+01 -1.231600515510824e+01 2.875028381347656e+02 1.007656764984131e+01
3.718068047240142e+01 -1.194139856169233e+01 2.721914978027344e+02 9.096488952636719e+00
3.810786432696821e+01 -1.156679196827641e+01 2.721914978027344e+02 9.096488952636719e+00
-1.697058968588816e+01 -3.274139712524843e+01 2.951261291503906e+02 2.076451301574707e+01
-1.604340583132137e+01 -3.236679053183252e+01 3.031728820800781e+02 1.616935539245605e+01
-1.511622197675459e+01 -3.199218393841661e+01 3.074966125488281e+02 1.681470298767090e+01
-1.418903812218780e+01 -3.161757734500070e+01 2.821408996582031e+02 1.114881896972656e+01
-1.326185426762101e+01 -3.124297075158479e+01 2.821408996582031e+02 1.114881896972656e+01
-1.233467041305422e+01 -3.086836415816887e+01 2.842728881835938e+02 1.077946472167969e+01
