# Bin vel(km/s) disp(km/s) chi2/DOF dV dsigma
26 -3.101697556754324410e+02 3.077236820031719731e+02 1.795741433397594067e+00 4.532450549336122236e+00 4.385285711698527322e+00
27 -3.176292917726570408e+02 3.143933071644679558e+02 2.029124527715743032e+00 4.763606385103254404e+00 4.649003407737827054e+00
28 -3.094726618265144111e+02 3.090963207965027664e+02 2.046234328675653913e+00 4.776046063443541989e+00 4.629325127548673535e+00
29 -3.172236356108552400e+02 3.040090774564493472e+02 2.053316074191808394e+00 4.826270029666708261e+00 4.642361332863266021e+00
30 -3.177513364379838663e+02 3.065236579167029163e+02 2.006924090019072349e+00 5.107646406607416090e+00 4.909899138719780787e+00
31 -3.182478630198061182e+02 3.063516283652635366e+02 1.894622303510008265e+00 5.497681762200230082e+00 5.284328949478839910e+00
32 -3.188544374117648204e+02 2.994347471711787989e+02 1.810790110318575952e+00 5.059000411495935268e+00 4.872551467048072737e+00
33 -3.216823467424570708e+02 3.001088030183676096e+02 1.961624821333784352e+00 5.653849121058119209e+00 5.456188818390365292e+00
34 -3.136485079157516225e+02 3.013321171830800154e+02 1.654950128876190529e+00 5.412240476602495853e+00 5.252050800956305388e+00
35 -3.098066070609646658e+02 2.913981710908539071e+02 1.662164308742411611e+00 5.444570206062880224e+00 5.260520118114831334e+00
36 -3.200495588500680242e+02 2.986108985070304698e+02 1.622104028881059978e+00 5.997979582441988811e+00 5.685234914378769489e+00
37 -3.160461722006429000e+02 2.936449964236926462e+02 1.602949839637513696e+00 6.331520241402518678e+00 6.217375632388922213e+00
38 -3.241381319169142330e+02 2.859809861980399432e+02 1.578116191944257674e+00 7.106756569401305512e+00 7.105695973518771247e+00
39 -3.321505380537046221e+02 2.896957942044174956e+02 1.534255066559824687e+00 8.194214185072810963e+00 8.057151982016447889e+00
40 -3.190261607187794084e+02 2.783859154666427571e+02 1.334582193491350210e+00 7.776062070551222227e+00 7.583816050940269449e+00
41 -3.020669647395727679e+02 2.866605294179777275e+02 1.432220581291636208e+00 9.605679618716576940e+00 9.346258713875890578e+00
42 -2.826219749780983648e+02 2.934255158411627349e+02 1.499962076254805599e+00 1.062237101776775106e+01 1.038999269577942286e+01
43 -3.145218996527045192e+02 3.120057890604610407e+02 1.299366976643489657e+00 1.382621201256309718e+01 1.320545983295788695e+01
44 -2.868623114532791192e+02 3.175485858213163510e+02 1.336283473923828735e+00 1.573501440326412570e+01 1.461948993308794975e+01
45 -2.915735000169592013e+02 3.055144352243331127e+02 1.275742165142543127e+00 1.625006164353980509e+01 1.576552634498869665e+01
46 -2.868837677166943081e+02 2.711682993749332127e+02 1.408074489790387185e+00 1.689434682487034678e+01 1.717360403101241673e+01
47 -3.249010932638301483e+02 2.794614499235910330e+02 1.318020751815479175e+00 1.796887812835869269e+01 1.706707771692322950e+01
48 -3.120474337753004193e+02 2.916230330108238604e+02 1.294043730385161073e+00 2.190417589516787444e+01 2.118021832512986080e+01
49 -3.107891037256355276e+02 2.636391814179251583e+02 1.292512618116280931e+00 2.169357728458074419e+01 2.122374086521386616e+01
50 -3.276415826379877672e+02 2.723806456559353251e+02 1.325698597756981956e+00 3.467994914298033393e+01 3.392037284499100025e+01
